bag_file,topic,group
carbonZ_2018-07-18-12-10-11.bag,/diagnostics,system
carbonZ_2018-07-18-12-10-11.bag,/mavctrl/path_dev,control
carbonZ_2018-07-18-12-10-11.bag,/mavctrl/rpy,control
carbonZ_2018-07-18-12-10-11.bag,/mavlink/from,system
carbonZ_2018-07-18-12-10-11.bag,/mavros/battery,energy
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/compass_hdg,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/global,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/local,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/raw/fix,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/raw/gps_vel,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/global_position/rel_alt,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/home_position/home,navigation
carbonZ_2018-07-18-12-10-11.bag,/mavros/imu/atm_pressure,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/imu/data,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/imu/data_raw,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/imu/mag,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/imu/temperature,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/local_position/odom,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/local_position/pose,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/local_position/velocity,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/mission/reached,system
carbonZ_2018-07-18-12-10-11.bag,/mavros/mission/waypoints,system
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/airspeed,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/pitch,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/roll,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/velocity,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/yaw,flight_state
carbonZ_2018-07-18-12-10-11.bag,/mavros/rc/in,control
carbonZ_2018-07-18-12-10-11.bag,/mavros/rc/out,control
carbonZ_2018-07-18-12-10-11.bag,/mavros/setpoint_raw/local,control
carbonZ_2018-07-18-12-10-11.bag,/mavros/setpoint_raw/target_global,control
carbonZ_2018-07-18-12-10-11.bag,/mavros/state,system
carbonZ_2018-07-18-12-10-11.bag,/mavros/time_reference,system
carbonZ_2018-07-18-12-10-11.bag,/mavros/vfr_hud,energy
carbonZ_2018-07-18-12-10-11.bag,/mavros/wind_estimation,flight_state
carbonZ_2018-07-18-12-10-11.bag,/rosout,system
carbonZ_2018-07-18-12-10-11.bag,/rosout_agg,system
carbonZ_2018-07-18-12-10-11.bag,/tf_static,system
carbonZ_2018-07-18-15-53-31.bag,/diagnostics,system
carbonZ_2018-07-18-15-53-31.bag,/failure_status/engines,label
carbonZ_2018-07-18-15-53-31.bag,/mavctrl/path_dev,control
carbonZ_2018-07-18-15-53-31.bag,/mavctrl/rpy,control
carbonZ_2018-07-18-15-53-31.bag,/mavlink/from,system
carbonZ_2018-07-18-15-53-31.bag,/mavros/battery,energy
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/compass_hdg,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/global,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/local,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/raw/fix,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/raw/gps_vel,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/global_position/rel_alt,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/home_position/home,navigation
carbonZ_2018-07-18-15-53-31.bag,/mavros/imu/atm_pressure,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/imu/data,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/imu/data_raw,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/imu/mag,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/imu/temperature,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/local_position/odom,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/local_position/pose,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/local_position/velocity,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/mission/reached,system
carbonZ_2018-07-18-15-53-31.bag,/mavros/mission/waypoints,system
carbonZ_2018-07-18-15-53-31.bag,/mavros/nav_info/airspeed,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-18-15-53-31.bag,/mavros/nav_info/pitch,flight_state
carbonZ_2018-07-18-15-53-31.bag,/mavros/nav_info/roll,flight_state
